Gene,GeneID,Count,PMID
IDO1,3620,7,"[26382631, 34065885, 27457784, 34065885, 34065885, 26382631, 27457784]"
BUFFY,36251,1,[31673827]
insulin,3630,10,"[29915997, 32683035, 35635755, 33411984, 32407267, 33373432, 23612372, 28635658, 34004479, 34561081]"
ship,3635,1,[23525893]
aquaporin-9,366,1,[36768574]
IRF3,3661,2,"[33825097, 33825097]"
AR,367,7,"[17438068, 21147815, 36662227, 27355960, 21147815, 17438068, 36662227]"
CD11b,3684,3,"[22293124, 22564240, 18778764]"
CD11c,3687,1,[22564240]
ITGB1,3688,1,[25080434]
pks2,369,1,[26505484]
COX2 and 5,3703584,1,[33652111]
COX1,3703585,1,[33652111]
involucrin,3713,1,[36498968]
JAK,3717,3,"[23880305, 36498968, 23880305]"
c-Jun,3725,2,"[25360754, 28811522]"
AP-1,3726,2,"[21093573, 26371759]"
GST,373156,2,"[30075079, 30075079]"
KAI1,3732,1,[26371759]
lysyl-tRNA synthetase,3735,1,[22704625]
MK-1,3736,1,[16794340]
AR,374,2,"[9870716, 9870716]"
ARF1,375,1,[21457368]
Kv11.1,3757,1,[26024438]
HCN,378938,1,[15242282]
VEGFR,3791,5,"[25185869, 34811848, 29609012, 33846818, 34811848]"
TORC1,382056,6,"[34972198, 31893233, 31018574, 22519596, 33846818, 34972198]"
Eg5,3832,1,[35268740]
GPx,384001,1,[36991200]
KRAS,3845,2,"[37355668, 23588713]"
RAS64B,38494,1,[31673827]
Iron,3853509,2,"[34803944, 34803944]"
cytokeratin-14,3861,1,[36768574]
RhoA,387,2,"[28811522, 16473668]"
microRNA-29a,387222,1,[36272693]
Lac,3938,1,[19797788]
iNOS,395807,1,[32055207]
IFN-gamma,396054,1,[32055207]
albumin,396197,1,[27044011]
Mbp,396217,1,[34678442]
COX-2,396451,2,"[32055207, 32055207]"
interleukin-2,396868,1,[31947842]
RhoGDI2,397,1,[24710897]
caspase 3,397244,1,[35888783]
lig4,3981,1,[29557773]
UGT,40055,1,[28746736]
LPO,4025,1,[30693585]
PEPCK,403165,1,[31285248]
IL-8,403850,1,[33184275]
CD4,404704,1,[27128894]
ARNT,405,1,[37662726]
cytochrome P450,4051,1,[14742792]
SAP,4068,1,[29545735]
lysozyme,4069,1,[28931063]
miR-21-5p,406997,1,[29743060]
Smad2/3,4087,2,"[19009233, 33809098]"
