Chemicals,ChemicalsID,Length,PMID
quinone,C004532,40,"[26894873, 34625822, 33139652, 9000379, 24965521, 32438585, 30896339, 10708379, 8753652, 27855306, 29305695, 31161931, 19400802, 35670582, 27227778, 14711659, 30073743, 26296745, 28873258, 31210261, 9748450, 32759961, 31248044, 8328802, 23870867, 1551837, 37154753, 37154753, 37004996, 37351768, 25495422, 30556018, 30556018, 33037888, 21952099, 31540065, 34117563, 8946751, 24601669, 19687189]"
petroleum ether,C004544,9,"[30152287, 30744547, 24361402, 37075084, 38203687, 15740876, 23204619, 25197307, 26082986]"
cochliodinol,C004557,3,"[35761187, 24189345, 37108917]"
beta-cyanoalanine,C004631,1,[3073060]
daidzein,C004742,10,"[17706732, 33233162, 22137037, 31652440, 8031711, 22409158, 29275696, 11195098, 12747214, 17291736]"
2-4-dichlorophenol,C004762,1,[1987125]
gentisyl alcohol,C004771,6,"[37642890, 31344395, 836020, 31163640, 31163640, 31163640]"
dimethylsulfide,C004784,6,"[10841973, 10841973, 19220400, 19220400, 28358818, 35456841]"
farnesyl pyrophosphate,C004808,18,"[28762089, 34763222, 34763222, 30121242, 30121242, 23667578, 36314906, 37073784, 26207800, 17096665, 3156854, 28854674, 28854674, 24430210, 24430210, 26803304, 26803304, 8784419]"
isopentenyl diphosphate,C004809,5,"[37226538, 37096757, 28854674, 28854674, 24213631]"
dithiol,C004848,2,"[19941471, 29551195]"
dipicolinic acid,C004860,6,"[28083986, 30781844, 38189382, 30498942, 30498942, 30498942]"
eburicoic acid,C004867,1,[21809540]
